agent,episode,reward
random,1,17.36
random,2,348.68
random,3,100.26
random,4,254.08
random,5,405.0
random,6,266.92
random,7,119.87
random,8,91.31
random,9,118.22
random,10,55.76
random,11,331.77
random,12,203.29
random,13,152.74
random,14,60.96
random,15,197.79
random,16,255.0
random,17,199.23
random,18,160.65
random,19,334.07
random,20,135.45
random,21,266.82
random,22,99.86
random,23,91.54
random,24,72.26
random,25,273.75
random,26,358.7
random,27,169.76
random,28,101.54
random,29,393.16
random,30,367.99
random,31,154.0
random,32,291.09
random,33,33.93
random,34,236.75
random,35,3.08
random,36,219.77
random,37,197.8
random,38,190.52
random,39,305.36
random,40,9.16
random,41,38.74
random,42,198.95
random,43,-45.15
random,44,250.24
random,45,-24.73
random,46,108.43
random,47,220.72
random,48,175.1
random,49,-32.64
random,50,84.96
random,51,135.61
random,52,271.82
random,53,24.31
random,54,185.95
random,55,106.3
random,56,106.15
random,57,247.38
random,58,285.7
random,59,309.08
random,60,273.7
random,61,76.57
random,62,11.25
random,63,-54.48
random,64,328.91
random,65,36.18
random,66,236.3
random,67,224.54
random,68,313.29
random,69,150.91
random,70,-63.91
random,71,211.13
random,72,226.08
random,73,233.68
random,74,280.58
random,75,87.2
random,76,178.63
random,77,119.78
random,78,173.88
random,79,80.7
random,80,325.79
random,81,368.57
random,82,163.57
random,83,-57.08
random,84,255.04
random,85,151.58
random,86,76.66
random,87,64.33
random,88,284.13
random,89,156.02
random,90,-46.86
random,91,404.36
random,92,93.46
random,93,138.69
random,94,287.52
random,95,292.28
random,96,247.67
random,97,243.97
random,98,243.98
random,99,149.59
random,100,127.35
q_learning,1,238.35
q_learning,2,373.43
q_learning,3,281.43
q_learning,4,443.37
q_learning,5,380.95
q_learning,6,395.16
q_learning,7,320.55
q_learning,8,236.19
q_learning,9,276.3
q_learning,10,203.45
q_learning,11,285.73
q_learning,12,190.85
q_learning,13,350.79
q_learning,14,218.32
q_learning,15,393.44
q_learning,16,355.52
q_learning,17,329.16
q_learning,18,446.39
q_learning,19,262.93
q_learning,20,272.85
q_learning,21,351.87
q_learning,22,171.15
q_learning,23,216.96
q_learning,24,250.39
q_learning,25,409.74
q_learning,26,424.98
q_learning,27,335.52
q_learning,28,266.44
q_learning,29,412.51
q_learning,30,209.69
q_learning,31,101.99
q_learning,32,456.65
q_learning,33,230.96
q_learning,34,390.99
q_learning,35,215.71
q_learning,36,546.91
q_learning,37,253.0
q_learning,38,319.51
q_learning,39,513.01
q_learning,40,253.96
q_learning,41,209.02
q_learning,42,373.0
q_learning,43,221.27
q_learning,44,379.48
q_learning,45,262.02
q_learning,46,300.08
q_learning,47,252.51
q_learning,48,317.04
q_learning,49,295.53
q_learning,50,466.45
q_learning,51,174.81
q_learning,52,292.78
q_learning,53,201.73
q_learning,54,236.77
q_learning,55,315.18
q_learning,56,225.92
q_learning,57,317.04
q_learning,58,495.95
q_learning,59,282.22
q_learning,60,357.6
q_learning,61,306.39
q_learning,62,241.55
q_learning,63,226.35
q_learning,64,344.11
q_learning,65,302.46
q_learning,66,220.22
q_learning,67,226.25
q_learning,68,392.72
q_learning,69,287.41
q_learning,70,298.09
q_learning,71,353.35
q_learning,72,548.9
q_learning,73,-328.59
q_learning,74,393.44
q_learning,75,413.12
q_learning,76,264.99
q_learning,77,417.12
q_learning,78,309.86
q_learning,79,295.13
q_learning,80,371.58
q_learning,81,413.83
q_learning,82,419.46
q_learning,83,243.85
q_learning,84,449.04
q_learning,85,317.41
q_learning,86,251.79
q_learning,87,261.67
q_learning,88,348.54
q_learning,89,501.68
q_learning,90,237.45
q_learning,91,400.82
q_learning,92,238.67
q_learning,93,152.51
q_learning,94,442.2
q_learning,95,439.17
q_learning,96,287.27
q_learning,97,323.58
q_learning,98,353.69
q_learning,99,300.39
q_learning,100,362.84
ppo,1,676.26
ppo,2,933.92
ppo,3,749.07
ppo,4,773.08
ppo,5,899.96
ppo,6,926.61
ppo,7,796.71
ppo,8,709.81
ppo,9,767.29
ppo,10,665.1
ppo,11,973.39
ppo,12,618.41
ppo,13,952.12
ppo,14,639.59
ppo,15,848.54
ppo,16,840.33
ppo,17,997.77
ppo,18,947.7
ppo,19,842.67
ppo,20,703.29
ppo,21,1014.79
ppo,22,670.86
ppo,23,687.33
ppo,24,640.61
ppo,25,845.32
ppo,26,977.75
ppo,27,872.24
ppo,28,737.03
ppo,29,840.71
ppo,30,934.4
ppo,31,530.86
ppo,32,971.12
ppo,33,632.59
ppo,34,983.17
ppo,35,669.0
ppo,36,972.05
ppo,37,859.36
ppo,38,872.9
ppo,39,775.92
ppo,40,717.94
ppo,41,689.44
ppo,42,920.3
ppo,43,681.36
ppo,44,984.99
ppo,45,669.78
ppo,46,749.23
ppo,47,742.9
ppo,48,799.94
ppo,49,655.94
ppo,50,970.93
ppo,51,737.73
ppo,52,938.59
ppo,53,693.23
ppo,54,681.79
ppo,55,756.03
ppo,56,731.56
ppo,57,1011.11
ppo,58,1038.16
ppo,59,827.27
ppo,60,1012.12
ppo,61,814.05
ppo,62,700.52
ppo,63,647.07
ppo,64,993.21
ppo,65,793.97
ppo,66,724.91
ppo,67,655.15
ppo,68,848.39
ppo,69,688.97
ppo,70,741.34
ppo,71,920.2
ppo,72,1043.92
ppo,73,966.26
ppo,74,932.26
ppo,75,832.71
ppo,76,708.96
ppo,77,958.58
ppo,78,911.34
ppo,79,795.11
ppo,80,1034.57
ppo,81,1007.19
ppo,82,894.25
ppo,83,663.92
ppo,84,985.84
ppo,85,727.61
ppo,86,696.22
ppo,87,674.48
ppo,88,903.43
ppo,89,994.06
ppo,90,685.51
ppo,91,926.22
ppo,92,583.24
ppo,93,703.91
ppo,94,931.29
ppo,95,813.88
ppo,96,885.83
ppo,97,791.63
ppo,98,745.45
ppo,99,856.76
ppo,100,848.76
