episode,total_reward,rolling_avg_20
1,347.05,347.05
2,183.61,265.33
3,-2.42,176.08
4,282.38,202.65
5,165.28,195.18
6,316.37,215.38
7,55.9,192.6
8,-61.61,160.82
9,71.36,150.88
10,-10.36,134.76
11,247.67,145.02
12,333.04,160.69
13,153.02,160.1
14,350.83,173.72
15,358.35,186.03
16,177.06,185.47
17,54.77,177.78
18,104.17,173.69
19,331.53,182.0
20,83.84,177.09
21,78.04,163.64
22,71.64,158.04
23,212.53,168.79
24,357.51,172.55
25,352.02,181.88
26,411.63,186.65
27,-38.33,181.94
28,423.33,206.18
29,349.07,220.07
30,195.04,230.34
31,266.16,231.26
32,114.79,220.35
33,327.27,229.06
34,183.5,220.7
35,183.67,211.96
36,402.84,223.25
37,380.03,239.51
38,379.89,253.3
39,196.86,246.57
40,418.83,263.32
41,298.43,274.34
42,321.46,286.83
43,332.32,292.82
44,167.62,283.32
45,257.54,278.6
46,281.21,272.08
47,364.54,292.22
48,234.33,282.77
49,220.32,276.33
50,253.99,279.28
51,277.29,279.84
52,282.68,288.23
53,104.53,277.09
54,92.71,272.55
55,125.93,269.67
56,378.16,268.43
57,436.57,271.26
58,274.71,266.0
59,298.71,271.09
60,347.97,267.55
61,46.12,254.94
62,299.76,253.85
63,104.54,242.46
64,369.07,252.53
65,117.41,245.53
66,128.89,237.91
67,146.45,227.01
68,178.48,224.21
69,102.24,218.31
70,311.29,221.18
71,125.65,213.59
72,134.92,206.21
73,403.25,221.14
74,195.67,226.29
75,113.81,225.68
76,175.86,215.57
77,324.78,209.98
78,311.76,211.83
79,399.01,216.85
80,390.78,218.99
81,256.36,229.5
82,281.78,228.6
83,369.09,241.83
84,275.98,237.17
85,159.83,239.29
86,164.22,241.06
87,391.36,253.31
88,343.8,261.57
89,434.71,278.19
90,405.27,282.89
91,231.25,288.17
92,371.9,300.02
93,359.13,297.82
94,274.16,301.74
95,253.68,308.74
96,397.04,319.8
97,197.72,313.44
98,329.92,314.35
99,315.06,310.15
100,383.88,309.81
101,409.55,317.47
102,476.99,327.23
103,276.29,322.59
104,438.54,330.72
105,260.58,335.75
106,250.92,340.09
107,372.19,339.13
108,348.72,339.37
109,550.02,345.14
110,330.79,341.42
111,473.99,353.55
112,498.44,359.88
113,396.55,361.75
114,398.72,367.98
115,500.89,380.34
116,446.81,382.83
117,370.13,391.45
118,328.54,391.38
119,390.03,395.13
120,292.74,390.57
121,365.19,388.35
122,281.23,378.57
123,497.77,389.64
124,454.0,390.41
125,345.25,394.65
126,176.3,390.92
127,268.9,385.75
128,395.36,388.08
129,517.49,386.46
130,520.21,395.93
131,536.14,399.04
132,435.28,395.88
133,643.14,408.21
134,651.08,420.82
135,406.9,416.13
136,484.36,418.0
137,614.35,430.21
138,653.45,446.46
139,202.38,437.08
140,578.88,451.38
141,489.48,457.6
142,275.08,457.29
143,533.2,459.06
144,652.34,468.98
145,455.61,474.5
146,365.1,483.94
147,665.81,503.78
148,421.69,505.1
149,557.19,507.08
150,610.39,511.59
151,532.42,511.41
152,364.99,507.89
153,363.04,493.89
154,383.21,480.49
155,542.81,487.29
156,655.95,495.87
157,544.29,492.37
158,645.19,491.95
159,328.4,498.25
160,691.18,503.87
161,684.3,513.61
162,426.55,521.18
163,639.28,526.49
164,361.15,511.93
165,617.77,520.04
166,448.69,524.22
167,578.58,519.85
168,739.22,535.73
169,582.81,537.01
170,455.33,529.26
171,604.56,532.87
172,469.33,538.08
173,578.88,548.88
174,666.2,563.03
175,587.9,565.28
176,425.8,553.77
177,670.24,560.07
178,448.42,550.23
179,327.11,550.17
180,482.1,539.71
181,667.31,538.86
182,360.71,535.57
183,746.47,540.93
184,338.09,539.78
185,555.51,536.66
186,709.13,549.69
187,373.22,539.42
188,649.27,534.92
189,668.21,539.19
190,518.65,542.36
191,548.69,539.56
192,540.24,543.11
193,548.58,541.59
194,375.44,527.06
195,490.37,522.18
196,222.26,512.0
197,513.34,504.16
198,691.39,516.3
199,580.87,528.99
200,744.61,542.12
201,713.87,544.45
202,662.88,559.55
203,477.39,546.1
204,780.66,568.23
205,713.24,576.12
206,747.28,578.02
207,879.99,603.36
208,650.02,603.4
209,681.88,604.08
210,619.01,609.1
211,674.3,615.38
212,525.64,614.65
213,453.54,609.9
214,708.46,626.55
215,505.95,627.33
216,559.22,644.18
217,560.38,646.53
218,503.37,637.13
219,544.01,635.29
220,803.1,638.21
221,560.2,630.53
222,619.39,628.35
223,330.15,620.99
224,481.36,606.03
225,353.21,588.02
226,508.76,576.1
227,444.61,554.33
228,779.24,560.79
229,780.91,565.74
